Datum,Gesamtzahl,Infiziert
2020-11-14,243.0,75.0
2020-11-15,245.0,67.0
2020-11-16,245.0,63.0
2020-11-17,246.0,55.0
2020-11-18,248.0,51.0
2020-11-19,256.0,56.0
2020-11-20,260.0,53.0
2020-11-21,262.0,51.0
2020-11-22,266.0,50.0
2020-11-23,267.0,42.0
2020-11-24,268.0,41.0
2020-11-25,274.0,46.0
2020-11-26,276.0,47.0
2020-11-27,281.0,44.0
2020-11-28,281.0,42.0
2020-11-29,283.0,42.0
2020-11-30,283.0,39.0
2020-12-01,284.0,37.0
2020-12-02,287.0,37.0
2020-12-03,290.0,36.0
2020-12-04,295.0,40.0
2020-12-05,302.0,44.0
2020-12-06,304.0,43.0
2020-12-07,304.0,38.0
2020-12-08,306.0,35.0
2020-12-09,307.0,34.0
2020-12-10,309.0,36.0
2020-12-11,315.0,41.0
2020-12-12,317.0,40.0
2020-12-13,318.0,38.0
2020-12-14,318.0,35.0
2020-12-15,321.0,38.0
2020-12-16,326.0,42.0
2020-12-17,332.0,42.0
2020-12-18,343.0,48.0
2020-12-19,353.0,54.0
2020-12-20,362.0,51.0
2020-12-21,364.0,50.0
2020-12-22,367.0,50.0
2020-12-23,377.0,52.0
2020-12-24,381.0,54.0
2020-12-25,385.0,48.0
2020-12-26,385.0,45.0
2020-12-27,385.0,37.0
2020-12-28,385.0,24.0
2020-12-29,388.0,20.0
2020-12-30,394.0,22.0
2020-12-31,402.0,28.0
2021-01-01,406.0,32.0
2021-01-02,406.0,27.0
2021-01-03,406.0,22.0
2021-01-04,406.0,19.0
2021-01-05,408.0,19.0
2021-01-06,415.0,24.0
2021-01-07,422.0,28.0
2021-01-08,426.0,30.0
2021-01-09,427.0,27.0
2021-01-10,427.0,24.0
2021-01-11,427.0,18.0
2021-01-12,431.0,16.0
2021-01-13,435.0,19.0
2021-01-14,440.0,23.0
2021-01-15,442.0,22.0
2021-01-16,448.0,26.0
2021-01-17,449.0,25.0
2021-01-18,449.0,25.0
2021-01-19,449.0,20.0
2021-01-20,453.0,23.0
2021-01-21,456.0,25.0
2021-01-22,457.0,24.0
2021-01-23,460.0,24.0
2021-01-24,465.0,27.0
2021-01-25,465.0,21.0
2021-01-26,469.0,21.0
2021-01-27,473.0,25.0
2021-01-28,475.0,28.0
2021-01-29,485.0,35.0
2021-01-30,487.0,35.0
2021-01-31,487.0,30.0
2021-02-01,487.0,28.0
2021-02-02,488.0,25.0
2021-02-03,496.0,27.0
2021-02-04,498.0,22.0
2021-02-05,499.0,20.0
2021-02-06,500.0,19.0
2021-02-07,506.0,25.0
2021-02-08,506.0,23.0
2021-02-09,506.0,16.0
2021-02-10,512.0,20.0
2021-02-11,512.0,19.0
2021-02-12,516.0,21.0
2021-02-13,517.0,20.0
2021-02-14,521.0,22.0
2021-02-15,523.0,23.0
